No.,Sample_type,Quantity,Sediment_type_pollen_cores,Site_section_name,Province,Taxonomic_identification,Dating_method,Dating_result,Reference,longitude,latitude,location_source,start_date,end_date,altitude (masl),
1,Pollen sequence,,Loess-palaeosol,Xindian section,Shaanxi,Fagopyrum. sp,AMS 14C and OSL,from 5500 cal BP,Li et al. 2009,107°48'E,34°23'N,reference,5500,0,608,
2,Pollen sequence,,Loess-palaeosol,Beizhuangcun section,Shaanxi,Fagopyrum. sp,Stratigraphic comparison,from 5000 cal BP,Shang and Li 2010,109°32'E,34°21'N,reference,5000,0,519,
3,Pollen sequence,,Alluvial sediment,WangXianggou site,Inner Mongolia,Fagopyrum. sp,AMS 14C,from 4700 cal BP,Li et al. 2006,119°55'E,42°04'N,reference,4700,0,751,
4,Pollen sequence,,Loess-palaeosol with cultural layers,Xishanping site,Gansu,Fagopyrum. sp,AMS 14C,from 4600 cal BP,Li et al. 2007,105°32'41''E,34°33'50''N,reference,4600,0,1330,
5,Pollen sequence,,Alluvial sediment,CM97(Chongming island),Shanghai,Fagopyrum. sp,AMS 14C,4500 cal BP,Yi et al. 2003b,121°23'E,31°37'N,reference,4500,4500,2.48,
6,Pollen sequence,,Loess-palaeosol,Jingbian section,Shaanxi,Fagopyrum. sp,Stratigraphic comparison,4000 cal BP,Cheng and Jiang 2011,108.9°E,37.5°N,reference,4000,4000,1688,
7,Pollen sequence,,Loess-palaeosol,Fuxian section,Shaanxi,Fagopyrum. sp,Stratigraphic comparison,4000 cal BP,Cheng and Jiang 2011,109.3°E,36.2°N,reference,4000,4000,1226,
8,Pollen sequence,,Alluvial sediment,Canduntou,Jiangsu,Fagopyrum. sp,AMS 14C,2500-2700 cal BP,Okuda et al. 2003,118°59'E,31°19'N,reference,2700,2500,10,
9,Pollen sequence,,Lake core,Wenhai Lake core,Yunnan,Polygonaceae pollen (likely to be Fagopyrum),AMS 14C,2400 cal BP,Yao et al. 2015,100°09'54''E,26°58'59''N,reference,2400,2400,3080,
10,Pollen sequence,,Alluvial sediment,H9602,Shandong,Fagopyrum. sp,AMS 14C,1300 cal BP,Yi et al. 2003a,118°54.3'E,37°48.8'N,reference,1300,1300,4.9,
11,Pollen sequence,,Alluvial sediment,Jinchuan site,Jilin,Fagopyrum esculentum,AMS 14C,1100 cal BP,Makohonienko et al. 2008,126°22'E,42°20'N,reference,1100,1100,665,
12,Pollen sequence,,Peat,Muchang site,Dongbei pingyuan,Fagopyrum. sp,AMS 14C,1050 cal BP,Makohonienko et al. 2004,123°27'52''E,43°09'05''N,reference,1050,1050,111,
13,Pollen sequence,,Lake core,GH09B,Shanxi,Fagopyrum. sp,"AMS 14C, 137Cs and 215Pb",1040-680 cal BP,Zhang 2015,112°14'E,38°54'N,reference,1040,680,1860,reference checked:
14,Pollen sequence,,Cultural layers,Lucheng site,Inner Mongolia,Fagopyrum esculentum,Archaeological culture,700-600 cal BP,Yao et al. 2013,113.215,40.786,google maps,700,600,,
15,Starch grains,,0,Chenqi mogou site,Gansu,Fagopyrum esculentum,Archaeological culture,4000 cal BP,Li et al. 2010,103.354,34.693,,4000,4000,,
16,Starch grains,,0,Changning site,Qinghai,Buckwheat (qiaomai),Archaeological culture,4000 cal BP,Qiao 2014,101.686,34.927,,4000,4000,,not available in english
17,Charred seeds,,0,Dingjiawa site,Beijing,Fagopyrum sagittatum ,Archaeological culture ,2720-2420 cal BP,Zhao 2008,115.999,39.725,,2720,2420,,not available in english
18,Charred seeds,7,0,Haimenkou site,Yunnan,Fagopyrum esculentum,AMS 14C,2720-2170 cal BP,Xue 2010,99.92,26.43,Guedes & Bocinsky database,2720,2170,,coordinates not found
19,Charred seeds,149,0,Xueshan site,Yunnan,Fagopyrum esculentum,Archaeological culture,2430-1940 cal BP,Wang 2014,102.908,24.674,,2430,1940,,not available in english
20,Charred seeds,,0,Yingpandi site,Qinghai,Buckwheat (qiaomai),AMS 14C,2250 cal BP,Jia 2012,102.61,36.23,Guedes & Bocinsky database,2250,2250,,not available in english
21,Charred seeds,,0,Yangjiawan Han Dynasty tomb,Shaanxi,Buckwheat (qiaomai),Archaeological culture,2150-1940 cal BP,Shi 1977,108.709,34.33,,2150,1940,,
22,Charred seeds,,0,Maquan Han Dynasty tomb,Shaanxi,Buckwheat (qiaomai),Archaeological culture,2150-1940 cal BP,Li 1979,108.709,34.33,,2150,1940,,
23,Charred seeds,,0,Mozuizi site,Gansu,Buckwheat (qiaomai),Archaeological culture,2150-1930 cal BP,Zhu 2011,102.65,37.79,Guedes & Bocinsky database,2150,1930,,
24,Charred seeds,,0,Kyung-lung Mesa/Kaerdong,Tibet,Fagopyrum sp.,AMS 14C,1256-1070 cal BP,d'Alpoim Guedes et al. 2014,80.66,31.14,Song et al. 2018,1256,1070,,
25,Charred seeds ,2,0,Kyung-lung Mesa/Kaerdong,Tibet,Fagopyrum tataricum,Stratigraphic comparison,1375-1290 cal BP,Song et al. 2018,80.66,31.14,Song et al. 2018,1375,1290,,
26,Charred seeds,4,0,Bayantala site,Inner Mongolia,Fagopyrum esculentum,Archaeological culture,1040-830 cal BP,Sun 2013,119.888,43.368,,1040,830,,
27,Charred seeds,4,0,Sunchangqing site,Jilin,Fagopyrum esculentum,Archaeological culture,1030-720 calBP,Yang et al. 2010,122.839,45.62,,1030,720,,
28,Charred seeds,3,0,Donghuishan,Gansu,Buckwheat ,AMS 14C,3610-3458 calBP,Wei 2019,100°44'E,38°40'N,Xinying et al (2011),3610,3458,,
