"short_names","full_name"
"npp","Net Primary Production"
"BIO1","BIO1 Annual Mean Temperature"
"BIO4","BIO4 Temperature Seasonality"
"BIO5","BIO5 Max Temperature of Warmest Month"
"BIO6","BIO6 Min Temperature of Coldest Month"
"BIO7","BIO7 Temperature Annual Range"
"BIO8","BIO8 Mean Temperature of Wettest Quarter"
"BIO9","BIO9 Mean Temperature of Driest Quarter"
"BIO10","BIO10 Mean Temperature of Warmest Quarter"
"BIO11","BIO11 Mean Temperature of Coldest Quarter"
"BIO12","BIO12 Annual Precipitation"
"BIO13","BIO13 Precipitation of Wettest Month"
"BIO14","BIO14 Precipitation of Driest Month"
"BIO15","BIO15 Precipitation Seasonality"
"BIO16","BIO16 Precipitation of Wettest Quarter"
"BIO17","BIO17 Precipitation of Driest Quarter"
"BIO18","BIO18 Precipitation of Warmest Quarter"
"BIO19","BIO19 Precipitation of Coldest Quarter"
